LGA_PID,NAME,WIKIDATA,DT_CREATE,MS_FB_PARE,MS_FB
NSW175,Waverley Municipal Council,Q2299900,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw175
NSW177,Municipality of Lane Cove,Q32311,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw177
NSW180,Woollahra Municipality,Q1623372,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw180
NSW181,City of Ryde,Q2178230,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw181
NSW196,Municipality of Strathfield,Q660171,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw196
NSW200,City of Sydney,Q1094194,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw200
NSW206,City of Lake Macquarie,Q606193,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw206
NSW207,City of Newcastle,Q820325,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw207
NSW212,Municipality of Kiama,Q753426,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw212
NSW213,North Sydney Council,Q114395,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw213
NSW216,City of Randwick,Q1311882,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw216
NSW217,City of Penrith,Q2069208,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw217
NSW229,Municipality of Hunter's Hill,Q1638179,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw229
NSW232,Municipality of Mosman,Q13080916,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw232
NSW234,Hornsby Shire,Q115549,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw234
NSW258,Ku-ring-gai Council,Q133642,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw258
NSW264,Camden Council,Q979106,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw264
NSW268,Municipality of Burwood,Q1017201,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw268
NSW272,City of Campbelltown,Q1030585,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw272
NSW275,City of Liverpool,Q1309863,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw275
NSW282,City of Canada Bay,Q582899,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw282
NSW283,City of Blacktown,Q30919,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw283
NSW294,City of Willoughby,Q634933,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw294
NSW295,City of Fairfield,Q571368,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw295
NSW298,Sutherland Shire,Q1818997,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw298
NSW306,City of Shellharbour,Q1534913,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw306
NSW310,City of Wollongong,Q820296,2011/11/29,country:au/state:nsw,country:au/state:nsw/lga:nsw310
NSW314,City of Parramatta Council,Q11079799,2016/06/07,country:au/state:nsw,country:au/state:nsw/lga:nsw314
NSW315,Cumberland Council,Q24055697,2016/06/07,country:au/state:nsw,country:au/state:nsw/lga:nsw315
NSW325,Georges River Council,Q24069989,2016/06/07,country:au/state:nsw,country:au/state:nsw/lga:nsw325
NSW329,Northern Beaches Council,Q24050090,2016/06/07,country:au/state:nsw,country:au/state:nsw/lga:nsw329
NSW331,Inner West Council,Q24067070,2016/06/07,country:au/state:nsw,country:au/state:nsw/lga:nsw331
