LGA_PID,NAME,WIKIDATA,DT_CREATE,MS_FB_PARE,MS_FB
NSW332,Canterbury-Bankstown Council,Q24070750,2016/06/07,country:au/state:nsw,country:au/state:nsw/lga:nsw332
NSW335,Bayside Council,Q26835506,2016/10/12,country:au/state:nsw,country:au/state:nsw/lga:nsw335
QLD21,City of Brisbane,Q917682,2011/11/23,country:au/state:qld,country:au/state:qld/lga:qld21
QLD295,Sunshine Coast Region,Q1065035,2011/11/23,country:au/state:qld,country:au/state:qld/lga:qld295
QLD319,Shire of Noosa,Q1322992,2013/12/05,country:au/state:qld,country:au/state:qld/lga:qld319
QLD63,Gold Coast City,Q1069385,2011/11/23,country:au/state:qld,country:au/state:qld/lga:qld63
SA101,City of Tea Tree Gully,Q2062776,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa101
SA102,City of West Torrens,Q1813391,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa102
SA105,City of Holdfast Bay,Q1624414,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa105
SA107,Adelaide Hills Council,Q353997,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa107
SA154,Town of Walkerville,Q1521840,2018/02/26,country:au/state:sa,country:au/state:sa/lga:sa154
SA73,City of Adelaide,Q1094063,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa73
SA74,City of Burnside,Q1016835,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa74
SA75,City of Campbelltown,Q1030580,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa75
SA76,City of Mitcham,Q1279553,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa76
SA78,City of Port Adelaide Enfield,Q1533526,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa78
SA81,Prospect,Q3407718,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa81
SA82,City of Salisbury,Q947334,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa82
SA83,City of Unley,Q1766439,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa83
SA85,Town of Gawler,Q1847617,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa85
SA90,City of Charles Sturt,Q1066185,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa90
SA91,City of Marion,Q1812769,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa91
SA92,City of Norwood Payneham & St Peters,Q905608,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa92
SA93,City of Onkaparinga,Q1812778,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa93
SA98,City of Playford,Q976355,2011/11/22,country:au/state:sa,country:au/state:sa/lga:sa98
VIC121,City of Moonee Valley,Q1786648,2011/11/29,country:au/state:vic,country:au/state:vic/lga:vic121
VIC131,City of Moreland,Q1947531,2011/11/29,country:au/state:vic,country:au/state:vic/lga:vic131
VIC132,City of Melbourne,Q1919098,2011/11/29,country:au/state:vic,country:au/state:vic/lga:vic132
VIC177,City of Glen Eira,Q1530742,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic177
VIC182,City of Bayside,Q546554,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic182
VIC188,City of Banyule,Q650144,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic188
VIC189,City of Brimbank,Q917261,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic189
VIC195,City of Manningham,Q765334,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic195
VIC196,City of Whitehorse,Q1502393,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic196
VIC201,City of Boroondara,Q894060,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic201
VIC202,City of Yarra,Q1474848,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic202
VIC203,City of Stonnington,Q1409285,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic203
VIC205,City of Darebin,Q541032,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic205
VIC208,City of Port Phillip,Q747477,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic208
VIC210,City of Monash,Q1785372,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic210
VIC226,City of Kingston,Q1500830,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic226
VIC234,City of Maribyrnong,Q1502208,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic234
VIC235,City of Hobsons Bay,Q660298,2017/09/08,country:au/state:vic,country:au/state:vic/lga:vic235
WA307,City of Nedlands,Q1490452,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa307
WA308,City of Rockingham,Q1660264,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa308
WA309,City of Wanneroo,Q543262,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa309
WA310,City of Vincent,Q1573718,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa310
WA311,City of Cockburn,Q1105257,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa311
WA312,City of Melville,Q549764,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa312
WA313,City of Swan,Q1506748,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa313
WA314,City of Bayswater,Q606312,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa314
WA315,Shire of Serpentine-Jarrahdale,Q2094463,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa315
WA316,Town of Victoria Park,Q604307,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa316
WA317,City of Canning,Q585453,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa317
WA318,City of South Perth,Q1671784,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa318
WA319,Shire of Mundaring,Q1261226,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa319
WA320,City of Gosnells,Q1538602,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa320
WA321,City of Armadale,Q606256,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa321
WA334,City of Stirling,Q606236,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa334
WA360,City of Belmont,Q606246,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa360
WA368,Town of Claremont,Q543331,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa368
WA369,Town of East Fremantle,Q604376,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa369
WA370,Town of Cambridge,Q736170,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa370
WA371,City of Joondalup,Q1703523,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa371
WA373,City of Subiaco,Q1857834,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa373
WA374,Shire of Peppermint Grove,Q1469756,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa374
WA375,Town of Mosman Park,Q476922,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa375
WA376,Town of Cottesloe,Q1136726,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa376
WA377,Town of Bassendean,Q604332,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa377
WA416,City of Fremantle,Q1455046,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa416
WA423,City of Perth,Q1855330,2012/04/16,country:au/state:wa,country:au/state:wa/lga:wa423
WA425,City of Kwinana,Q1794961,2013/05/29,country:au/state:wa,country:au/state:wa/lga:wa425
WA427,City of Kalamunda,Q1721949,2017/08/28,country:au/state:wa,country:au/state:wa/lga:wa427
