SE_PID,NAME,WIKIDATA,DT_CREATE,TYPE,MS_FB_PARE,MS_FB
SA18500013,Light,Q5355599,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500013
SA18500014,Little Para,Q5355601,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500014
SA18500015,MacKillop,Q5355616,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500015
SA18500016,Mawson,Q5355642,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500016
SA18500017,Morialta,Q5355696,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500017
SA18500018,Unley,Q5356053,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500018
SA18500019,Waite,Q5356062,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500019
SA18500020,West Torrens,Q5356115,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500020
SA18500021,Wright,Q5356154,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500021
SA18500022,Playford,Q5355860,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500022
SA18500023,Ramsay,Q5355885,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500023
SA18500024,Reynell,Q5355892,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500024
SA18500025,Adelaide,Q5355018,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500025
SA18500026,Bragg,Q5355144,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500026
SA18500027,Ashford,Q5355054,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500027
SA18500028,Hartley,Q5355493,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500028
SA18500029,Heysen,Q5355511,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500029
SA18500030,Kaurna,Q5355552,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500030
SA18500031,Kavel,Q5355553,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500031
SA18500032,Bright,Q5355149,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500032
SA18500033,Chaffey,Q5355229,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500033
SA18500034,Cheltenham,Q5355234,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500034
SA18500035,Colton,Q5355261,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500035
SA18500036,Croydon,Q5355288,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500036
SA18500037,Davenport,Q5355315,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500037
SA18500038,Dunstan,Q17003410,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500038
SA18500039,Fisher,Q5355398,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500039
SA18500040,Frome,Q5355421,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500040
SA18500041,Elder,Q5355369,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500041
SA18500042,Enfield,Q5355377,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500042
SA18500043,Florey,Q5355407,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500043
SA18500044,Giles,Q5355432,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500044
SA18500045,Hammond,Q5355487,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500045
SA18500046,Flinders,Q5355404,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500046
SA18500048,Goyder,Q5355467,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500048
SA18500049,Finniss,Q5355397,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500049
TAS2943,Denison,Q5284518,2015/05/11,House of Assembly,country:au/state:tas,country:au/state:tas/shaed:tas2943
TAS2945,Franklin,Q5284526,2015/05/11,House of Assembly,country:au/state:tas,country:au/state:tas/shaed:tas2945
TAS2948,Braddon,Q5284497,2015/05/11,House of Assembly,country:au/state:tas,country:au/state:tas/shaed:tas2948
TAS2949,Lyons,Q5284547,2015/05/11,House of Assembly,country:au/state:tas,country:au/state:tas/shaed:tas2949
TAS2953,Bass,Q5284494,2015/05/11,House of Assembly,country:au/state:tas,country:au/state:tas/shaed:tas2953
VIC197,Lowan,Q5355610,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic197
VIC202,Polwarth,Q5355861,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic202
VIC203,Ripon,Q5355900,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic203
VIC204,Gippsland South,Q5355436,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic204
VIC206,Euroa,Q17003911,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic206
VIC207,Ovens Valley,Q17019966,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic207
VIC208,Benambra,Q5355115,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic208
VIC209,Gippsland East,Q5355434,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic209
VIC211,Mildura,Q5355662,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic211
VIC212,Murray Plains,Q17014679,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic212
VIC213,South-West Coast,Q5355945,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic213
VIC214,Buninyong,Q17002559,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic214
VIC215,Bendigo East,Q5355117,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic215
VIC216,Shepparton,Q5355937,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic216
VIC217,Narracan,Q5355755,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic217
VIC218,Eildon,Q17003535,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic218
VIC219,Nepean,Q5355762,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic219
VIC220,Bass,Q5355088,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic220
VIC224,Macedon,Q5355617,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic224
VIC227,Gembrook,Q5355428,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic227
VIC230,Bendigo West,Q17001314,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic230
VIC231,Morwell,Q5355704,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic231
VIC232,South Barwon,Q5355946,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic232
VIC234,Bellarine,Q5355104,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic234
VIC236,Hastings,Q5355496,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic236
VIC237,Lara,Q5355589,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic237
VIC238,Werribee,Q5356101,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic238
VIC239,Melton,Q5355646,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic239
VIC240,Tarneit,Q5356020,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic240
VIC241,Kororoit,Q5355577,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic241
VIC242,Sunbury,Q17028247,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic242
VIC246,Monbulk,Q5355680,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic246
VIC248,Yan Yean,Q5356160,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic248
