SE_PID,NAME,WIKIDATA,DT_CREATE,TYPE,MS_FB_PARE,MS_FB
QLD226,Hervey Bay,Q5355510,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld226
QLD227,Hill,Q30641934,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld227
QLD228,Hinchinbrook,Q5355515,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld228
QLD229,Inala,Q5355525,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld229
QLD230,Ipswich,Q5355531,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld230
QLD231,Ipswich West,Q5355532,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld231
QLD232,Jordan,Q30641922,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld232
QLD233,Kawana,Q5355554,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld233
QLD234,Keppel,Q5355562,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld234
QLD235,Kurwongbah,Q5355581,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld235
QLD236,Lockyer,Q5355605,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld236
QLD237,Logan,Q5355606,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld237
QLD238,Lytton,Q5355615,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld238
QLD239,Macalister,Q30641915,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld239
QLD240,McConnel,Q30641935,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld240
QLD241,Mackay,Q5355618,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld241
QLD242,Maiwar,Q30641923,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld242
QLD243,Mansfield,Q5355631,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld243
QLD244,Maroochydore,Q17012097,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld244
QLD245,Maryborough,Q5355638,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld245
QLD246,Mermaid Beach,Q5355650,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld246
QLD247,Miller,Q30641918,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld247
QLD248,Mirani,Q5355667,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld248
QLD249,Moggill,Q5355676,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld249
QLD250,Morayfield,Q5355691,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld250
QLD251,Mount Ommaney,Q5355721,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld251
QLD252,Mudgeeraba,Q5355726,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld252
QLD253,Mulgrave,Q5355729,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld253
QLD254,Mundingburra,Q5355732,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld254
