NAME,MS_FB_PARE,MS_FB,WIKIDATA
New South Wales,country:au,country:au/senate-constituency:nsw,Q56649105
Victoria,country:au,country:au/senate-constituency:vic,Q56649112
Queensland,country:au,country:au/senate-constituency:qld,Q56649111
South Australia,country:au,country:au/senate-constituency:sa,Q56649110
Western Australia,country:au,country:au/senate-constituency:wa,Q56649104
Tasmania,country:au,country:au/senate-constituency:tas,Q56649108
Northern Territory,country:au,country:au/senate-constituency:nt,Q56649106
Australian Capital Territory,country:au,country:au/senate-constituency:act,Q56649107
