CE_PID,NAME,WIKIDATA,DT_CREATE,REDISTYEAR,MS_FB_PARE,MS_FB
ACT3,Canberra,Q2973482,2016/02/17,2016,country:au/state:act,country:au/state:act/ced:act3
ACT4,Fenner,Q23646678,2016/02/17,2016,country:au/state:act,country:au/state:act/ced:act4
NSW1,Lindsay,Q1074066,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw1
NSW10,Banks,Q2425863,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw10
NSW11,Hughes,Q2973656,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw11
NSW12,New England,Q2973794,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw12
NSW13,Werriwa,Q2973901,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw13
NSW14,Lyne,Q2973724,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw14
NSW15,Mitchell,Q2973776,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw15
NSW16,Blaxland,Q1074143,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw16
NSW17,Warringah,Q1074025,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw17
NSW18,Bradfield,Q1074189,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw18
NSW19,Fowler,Q2973575,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw19
NSW20,Hume,Q2973659,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw20
NSW21,Chifley,Q1073690,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw21
NSW22,North Sydney,Q2973863,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw22
NSW23,Dobell,Q509342,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw23
NSW24,Bennelong,Q817830,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw24
NSW26,Grayndler,Q1079489,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw26
NSW27,Macarthur,Q2973728,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw27
NSW28,Farrer,Q1073683,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw28
NSW29,Newcastle,Q966318,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw29
NSW3,Kingsford Smith,Q2973695,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw3
NSW30,Greenway,Q2973632,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw30
NSW31,Berowra,Q1074115,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw31
NSW32,Cowper,Q1074235,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw32
NSW33,Macquarie,Q1074005,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw33
NSW34,Hunter,Q1074124,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw34
NSW36,Barton,Q1074151,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw36
NSW37,Cunningham,Q182615,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw37
NSW38,Parkes,Q2973799,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw38
NSW39,Richmond,Q1073994,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw39
NSW4,Calare,Q1026265,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw4
NSW41,Page,Q2973798,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw41
NSW42,Reid,Q2973816,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw42
NSW43,Watson,Q2973888,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw43
NSW44,Shortland,Q2973851,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw44
NSW45,Riverina,Q2973933,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw45
NSW46,Mackellar,Q918989,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw46
NSW47,Gilmore,Q2973616,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw47
NSW48,Wentworth,Q2973891,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw48
NSW49,Parramatta,Q2973800,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw49
NSW5,Robertson,Q2973820,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw5
NSW50,McMahon,Q1073946,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw50
NSW51,Paterson,Q577770,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw51
NSW52,Whitlam,Q23055249,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw52
NSW7,Cook,Q368340,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw7
NSW8,Sydney,Q1075639,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw8
NSW9,Eden-Monaro,Q1073695,2016/04/27,2016,country:au/state:nsw,country:au/state:nsw/ced:nsw9
NT1,Solomon,Q2973852,2011/06/28,2008,country:au/state:nt,country:au/state:nt/ced:nt1
NT2,Lingiari,Q2973722,2011/06/28,2008,country:au/state:nt,country:au/state:nt/ced:nt2
QLD1,Wide Bay,Q2973903,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld1
QLD10,Dickson,Q2973551,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld10
QLD11,Rankin,Q2973814,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld11
QLD12,Flynn,Q2973571,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld12
QLD13,Leichhardt,Q550273,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld13
QLD14,Ryan,Q2973824,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld14
QLD15,Herbert,Q2973647,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld15
QLD16,Moncrieff,Q2973778,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld16
QLD17,Moreton,Q2973781,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld17
QLD18,Dawson,Q1079471,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld18
QLD19,Blair,Q2973464,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld19
QLD2,Bonner,Q2973466,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld2
QLD20,Maranoa,Q2973739,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld20
QLD21,Groom,Q2973635,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld21
QLD22,Petrie,Q2973809,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld22
QLD23,Forde,Q2973572,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld23
QLD24,Capricornia,Q2973486,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld24
QLD25,Brisbane,Q917665,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld25
QLD26,Fairfax,Q2973565,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld26
QLD27,Fisher,Q2973569,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld27
QLD28,Griffith,Q1074129,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld28
QLD29,Fadden,Q2973562,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld29
QLD3,Bowman,Q2973472,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld3
QLD30,Wright,Q2973915,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld30
QLD4,Longman,Q2973723,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld4
QLD5,McPherson,Q1074030,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld5
QLD6,Kennedy,Q2973687,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld6
QLD7,Oxley,Q1074900,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld7
QLD8,Hinkler,Q2973649,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld8
QLD9,Lilley,Q2973718,2011/06/28,2009,country:au/state:qld,country:au/state:qld/ced:qld9
SA1,Boothby,Q2973469,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa1
SA10,Adelaide,Q2973361,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa10
SA11,Barker,Q2973436,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa11
SA2,Grey,Q2973634,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa2
SA3,Sturt,Q2973854,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa3
SA4,Wakefield,Q1073964,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa4
SA5,Mayo,Q1074088,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa5
SA6,Makin,Q2973735,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa6
SA7,Hindmarsh,Q2973414,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa7
SA8,Kingston,Q3032417,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa8
SA9,Port Adelaide,Q2423795,2012/04/03,2011,country:au/state:sa,country:au/state:sa/ced:sa9
TAS1,Bass,Q2887271,2011/06/28,2009,country:au/state:tas,country:au/state:tas/ced:tas1
TAS2,Braddon,Q924832,2011/06/28,2009,country:au/state:tas,country:au/state:tas/ced:tas2
TAS3,Franklin,Q2973578,2011/06/28,2009,country:au/state:tas,country:au/state:tas/ced:tas3
TAS4,Lyons,Q1878928,2011/06/28,2009,country:au/state:tas,country:au/state:tas/ced:tas4
TAS5,Denison,Q784520,2011/06/28,2009,country:au/state:tas,country:au/state:tas/ced:tas5
VIC1,Gippsland,Q2973620,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic1
VIC10,Gellibrand,Q2973604,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic10
VIC11,Murray,Q2973788,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic11
VIC12,Menzies,Q178752,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic12
VIC13,Deakin,Q1074059,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic13
VIC14,Scullin,Q2973832,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic14
VIC15,Wills,Q2973906,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic15
VIC16,McMillan,Q1074082,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic16
VIC17,Melbourne,Q1635847,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic17
VIC18,Calwell,Q2973484,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic18
VIC19,McEwen,Q1074167,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic19
VIC2,Mallee,Q2973737,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic2
VIC20,Flinders,Q2973570,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic20
VIC21,Indi,Q2973417,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic21
VIC22,Melbourne Ports,Q2973755,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic22
VIC23,La Trobe,Q2973715,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic23
VIC24,Bendigo,Q2973455,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic24
VIC25,Ballarat,Q2973434,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic25
VIC26,Chisholm,Q5284509,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic26
VIC27,Corangamite,Q2973505,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic27
VIC28,Gorton,Q2973629,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic28
VIC29,Kooyong,Q2973706,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic29
VIC3,Aston,Q1074102,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic3
VIC30,Lalor,Q1073721,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic30
VIC31,Casey,Q2973490,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic31
VIC32,Corio,Q2973504,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic32
VIC33,Jagajaga,Q2973662,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic33
VIC34,Hotham,Q2973653,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic34
VIC35,Bruce,Q2973477,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic35
VIC36,Isaacs,Q2973418,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic36
VIC37,Goldstein,Q2973625,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic37
VIC4,Wannon,Q2973885,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic4
VIC5,Holt,Q2973650,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic5
VIC6,Maribyrnong,Q2973742,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic6
VIC7,Higgins,Q2973648,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic7
VIC8,Dunkley,Q1079523,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic8
VIC9,Batman,Q2973440,2011/06/28,2010,country:au/state:vic,country:au/state:vic/ced:vic9
WA17,Brand,Q897736,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa17
WA18,Canning,Q2973485,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa18
WA19,Cowan,Q2973507,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa19
WA20,Curtin,Q2973513,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa20
WA21,Durack,Q2973561,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa21
WA22,Forrest,Q2973574,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa22
WA23,Fremantle,Q2973587,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa23
WA24,Hasluck,Q2973646,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa24
WA25,Moore,Q2973779,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa25
WA26,Burt,Q23019675,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa26
WA27,O'Connor,Q2973797,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa27
WA28,Pearce,Q2973802,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa28
WA29,Perth,Q2973806,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa29
WA30,Stirling,Q2973853,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa30
WA31,Swan,Q2973857,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa31
WA32,Tangney,Q2973868,2016/02/17,2016,country:au/state:wa,country:au/state:wa/ced:wa32
