NAME,MS_FB,MS_FB_PARE,WIKIDATA
Hunter Ward,country:au/state:nsw/lga:nsw175/ward:hunter,country:au/state:nsw/lga:nsw175,Q56682648
Hurstville Ward,country:au/state:nsw/lga:nsw325/ward:hurstville,country:au/state:nsw/lga:nsw325,Q56682649
Kogarah Ward Bay,country:au/state:nsw/lga:nsw325/ward:kogarah-bay,country:au/state:nsw/lga:nsw325,Q56682651
Lawson Ward,country:au/state:nsw/lga:nsw175/ward:lawson,country:au/state:nsw/lga:nsw175,Q56682653
Leichhardt Ward,country:au/state:nsw/lga:nsw331/ward:leichhardt,country:au/state:nsw/lga:nsw331,Q56682654
Manly Ward,country:au/state:nsw/lga:nsw329/ward:manly,country:au/state:nsw/lga:nsw329,Q56682656
Marrickville Ward,country:au/state:nsw/lga:nsw331/ward:marrickville,country:au/state:nsw/lga:nsw331,Q56682657
Mascot Ward,country:au/state:nsw/lga:nsw335/ward:mascot,country:au/state:nsw/lga:nsw335,Q56682658
Middle Harbour Ward,country:au/state:nsw/lga:nsw294/ward:middle-harbour,country:au/state:nsw/lga:nsw294,Q56682659
Mortdale Ward,country:au/state:nsw/lga:nsw325/ward:mortdale,country:au/state:nsw/lga:nsw325,Q56682660
Naremburn Ward,country:au/state:nsw/lga:nsw294/ward:naremburn,country:au/state:nsw/lga:nsw294,Q56682662
Narrabeen Ward,country:au/state:nsw/lga:nsw329/ward:narrabeen,country:au/state:nsw/lga:nsw329,Q56682663
North Rocks Ward,country:au/state:nsw/lga:nsw314/ward:north-rocks,country:au/state:nsw/lga:nsw314,Q56682664
North Ward,country:au/state:nsw/lga:nsw206/ward:north,country:au/state:nsw/lga:nsw206,Q56682666
North Ward,country:au/state:nsw/lga:nsw216/ward:north,country:au/state:nsw/lga:nsw216,Q56682667
North Ward,country:au/state:nsw/lga:nsw217/ward:north,country:au/state:nsw/lga:nsw217,Q56682668
North Ward,country:au/state:nsw/lga:nsw229/ward:north,country:au/state:nsw/lga:nsw229,Q56682669
North Ward,country:au/state:nsw/lga:nsw264/ward:north,country:au/state:nsw/lga:nsw264,Q56682670
North Ward,country:au/state:nsw/lga:nsw275/ward:north,country:au/state:nsw/lga:nsw275,Q56682671
Paddington Ward,country:au/state:nsw/lga:nsw180/ward:paddington,country:au/state:nsw/lga:nsw180,Q56682672
Parks Ward,country:au/state:nsw/lga:nsw295/ward:parks,country:au/state:nsw/lga:nsw295,Q56682673
Parramatta Ward,country:au/state:nsw/lga:nsw314/ward:parramatta,country:au/state:nsw/lga:nsw314,Q56682674
Peakhurst Ward,country:au/state:nsw/lga:nsw325/ward:peakhurst,country:au/state:nsw/lga:nsw325,Q56682675
Pittwater Ward,country:au/state:nsw/lga:nsw329/ward:pittwater,country:au/state:nsw/lga:nsw329,Q56682678
Port Botany Ward,country:au/state:nsw/lga:nsw335/ward:port-botany,country:au/state:nsw/lga:nsw335,Q56682679
Regents Park Ward,country:au/state:nsw/lga:nsw315/ward:regents-park,country:au/state:nsw/lga:nsw315,Q56682680
Revesby Ward,country:au/state:nsw/lga:nsw332/ward:revesby,country:au/state:nsw/lga:nsw332,Q56682681
Rockdale Ward,country:au/state:nsw/lga:nsw335/ward:rockdale,country:au/state:nsw/lga:nsw335,Q56682682
Rosehill Ward,country:au/state:nsw/lga:nsw314/ward:rosehill,country:au/state:nsw/lga:nsw314,Q56682683
Roselands Ward,country:au/state:nsw/lga:nsw332/ward:roselands,country:au/state:nsw/lga:nsw332,Q56682684
Roseville Ward,country:au/state:nsw/lga:nsw258/ward:roseville,country:au/state:nsw/lga:nsw258,Q56682685
Sailors Bay Ward,country:au/state:nsw/lga:nsw294/ward:sailors-bay,country:au/state:nsw/lga:nsw294,Q56682686
South Granville Ward,country:au/state:nsw/lga:nsw315/ward:south-granville,country:au/state:nsw/lga:nsw315,Q56682688
South Ward,country:au/state:nsw/lga:nsw216/ward:south,country:au/state:nsw/lga:nsw216,Q56682689
South Ward,country:au/state:nsw/lga:nsw217/ward:south,country:au/state:nsw/lga:nsw217,Q56682690
South Ward,country:au/state:nsw/lga:nsw229/ward:south,country:au/state:nsw/lga:nsw229,Q56682691
South Ward,country:au/state:nsw/lga:nsw264/ward:south,country:au/state:nsw/lga:nsw264,Q56682692
South Ward,country:au/state:nsw/lga:nsw275/ward:south,country:au/state:nsw/lga:nsw275,Q56682693
St Ives Ward,country:au/state:nsw/lga:nsw258/ward:st-ives,country:au/state:nsw/lga:nsw258,Q56682694
Stanmore Ward,country:au/state:nsw/lga:nsw331/ward:stanmore,country:au/state:nsw/lga:nsw331,Q56682695
Tunks Ward,country:au/state:nsw/lga:nsw213/ward:tunks,country:au/state:nsw/lga:nsw213,Q56682697
Vaucluse Ward,country:au/state:nsw/lga:nsw180/ward:vaucluse,country:au/state:nsw/lga:nsw180,Q56682698
Victoria Ward,country:au/state:nsw/lga:nsw213/ward:victoria,country:au/state:nsw/lga:nsw213,Q56682699
Wahroonga Ward,country:au/state:nsw/lga:nsw258/ward:wahroonga,country:au/state:nsw/lga:nsw258,Q56682700
Ward 1,country:au/state:nsw/lga:nsw207/ward:1,country:au/state:nsw/lga:nsw207,Q56682702
Ward 1,country:au/state:nsw/lga:nsw283/ward:1,country:au/state:nsw/lga:nsw283,Q56682703
Ward 1,country:au/state:nsw/lga:nsw310/ward:1,country:au/state:nsw/lga:nsw310,Q56682704
Ward 2,country:au/state:nsw/lga:nsw207/ward:2,country:au/state:nsw/lga:nsw207,Q56682705
Ward 2,country:au/state:nsw/lga:nsw283/ward:2,country:au/state:nsw/lga:nsw283,Q56682706
Ward 2,country:au/state:nsw/lga:nsw310/ward:2,country:au/state:nsw/lga:nsw310,Q56682707
Ward 3,country:au/state:nsw/lga:nsw207/ward:3,country:au/state:nsw/lga:nsw207,Q56682708
Ward 3,country:au/state:nsw/lga:nsw283/ward:3,country:au/state:nsw/lga:nsw283,Q56682709
Ward 3,country:au/state:nsw/lga:nsw310/ward:3,country:au/state:nsw/lga:nsw310,Q56682710
Ward 4,country:au/state:nsw/lga:nsw207/ward:4,country:au/state:nsw/lga:nsw207,Q56682711
Ward 4,country:au/state:nsw/lga:nsw283/ward:4,country:au/state:nsw/lga:nsw283,Q56682712
Ward 5,country:au/state:nsw/lga:nsw283/ward:5,country:au/state:nsw/lga:nsw283,Q56682713
Ward A,country:au/state:nsw/lga:nsw234/ward:a,country:au/state:nsw/lga:nsw234,Q56682714
Ward A,country:au/state:nsw/lga:nsw298/ward:a,country:au/state:nsw/lga:nsw298,Q56682715
Ward B,country:au/state:nsw/lga:nsw234/ward:b,country:au/state:nsw/lga:nsw234,Q56682716
Ward B,country:au/state:nsw/lga:nsw298/ward:b,country:au/state:nsw/lga:nsw298,Q56682717
Ward C,country:au/state:nsw/lga:nsw234/ward:c,country:au/state:nsw/lga:nsw234,Q56682718
Ward C,country:au/state:nsw/lga:nsw298/ward:c,country:au/state:nsw/lga:nsw298,Q56682719
Ward D,country:au/state:nsw/lga:nsw298/ward:d,country:au/state:nsw/lga:nsw298,Q56682720
Ward E,country:au/state:nsw/lga:nsw298/ward:e,country:au/state:nsw/lga:nsw298,Q56682721
Waverley Ward,country:au/state:nsw/lga:nsw175/ward:waverley,country:au/state:nsw/lga:nsw175,Q56682723
Wentworthville Ward,country:au/state:nsw/lga:nsw315/ward:wentworthville,country:au/state:nsw/lga:nsw315,Q56682724
West Ward,country:au/state:nsw/lga:nsw177/ward:west,country:au/state:nsw/lga:nsw177,Q56682725
West Ward,country:au/state:nsw/lga:nsw181/ward:west,country:au/state:nsw/lga:nsw181,Q56682726
West Ward,country:au/state:nsw/lga:nsw206/ward:west,country:au/state:nsw/lga:nsw206,Q56682727
West Ward,country:au/state:nsw/lga:nsw216/ward:west,country:au/state:nsw/lga:nsw216,Q56682729
Willoughby West Ward,country:au/state:nsw/lga:nsw294/ward:willoughby-west,country:au/state:nsw/lga:nsw294,Q56682730
Wollstonecraft Ward,country:au/state:nsw/lga:nsw213/ward:wollstonecraft,country:au/state:nsw/lga:nsw213,Q56682731
