NAME,MS_FB,MS_FB_PARE,WIKIDATA
Ashfield Ward,country:au/state:nsw/lga:nsw331/ward:ashfield,country:au/state:nsw/lga:nsw331,Q56682608
Balmain Ward,country:au/state:nsw/lga:nsw331/ward:balmain,country:au/state:nsw/lga:nsw331,Q56682609
Bankstown Ward,country:au/state:nsw/lga:nsw332/ward:bankstown,country:au/state:nsw/lga:nsw332,Q56682610
Bass Hill Ward,country:au/state:nsw/lga:nsw332/ward:bass-hill,country:au/state:nsw/lga:nsw332,Q56682611
Bellevue Hill Ward,country:au/state:nsw/lga:nsw180/ward:bellevue-hill,country:au/state:nsw/lga:nsw180,Q56682613
Bexley Ward,country:au/state:nsw/lga:nsw335/ward:bexley,country:au/state:nsw/lga:nsw335,Q56682614
Blakehurst Ward,country:au/state:nsw/lga:nsw325/ward:blakehurst,country:au/state:nsw/lga:nsw325,Q56682615
Bondi Ward,country:au/state:nsw/lga:nsw175/ward:bondi,country:au/state:nsw/lga:nsw175,Q56682616
Botany Bay Ward,country:au/state:nsw/lga:nsw335/ward:botany-bay,country:au/state:nsw/lga:nsw335,Q56682617
Cabravale Ward,country:au/state:nsw/lga:nsw295/ward:cabravale,country:au/state:nsw/lga:nsw295,Q56682619
Canterbury Ward,country:au/state:nsw/lga:nsw332/ward:canterbury,country:au/state:nsw/lga:nsw332,Q56682622
Central Ward,country:au/state:nsw/lga:nsw177/ward:central,country:au/state:nsw/lga:nsw177,Q56682623
Central Ward,country:au/state:nsw/lga:nsw181/ward:central,country:au/state:nsw/lga:nsw181,Q56682624
Central Ward,country:au/state:nsw/lga:nsw216/ward:central,country:au/state:nsw/lga:nsw216,Q56682625
Central Ward,country:au/state:nsw/lga:nsw264/ward:central,country:au/state:nsw/lga:nsw264,Q56682626
Comenarra Ward,country:au/state:nsw/lga:nsw258/ward:comenarra,country:au/state:nsw/lga:nsw258,Q56682628
Cooper Ward,country:au/state:nsw/lga:nsw180/ward:cooper,country:au/state:nsw/lga:nsw180,Q56682629
Curl Curl Ward,country:au/state:nsw/lga:nsw329/ward:curl-curl,country:au/state:nsw/lga:nsw329,Q56682630
Double Bay Ward,country:au/state:nsw/lga:nsw180/ward:double-bay,country:au/state:nsw/lga:nsw180,Q56682631
Dundas Ward,country:au/state:nsw/lga:nsw314/ward:dundas,country:au/state:nsw/lga:nsw314,Q56682632
East Ward,country:au/state:nsw/lga:nsw177/ward:east,country:au/state:nsw/lga:nsw177,Q56682634
East Ward,country:au/state:nsw/lga:nsw181/ward:east,country:au/state:nsw/lga:nsw181,Q56682636
East Ward,country:au/state:nsw/lga:nsw206/ward:east,country:au/state:nsw/lga:nsw206,Q56682637
East Ward,country:au/state:nsw/lga:nsw216/ward:east,country:au/state:nsw/lga:nsw216,Q56682638
East Ward,country:au/state:nsw/lga:nsw217/ward:east,country:au/state:nsw/lga:nsw217,Q56682639
Epping Ward,country:au/state:nsw/lga:nsw314/ward:epping,country:au/state:nsw/lga:nsw314,Q56682640
Fairfield Ward,country:au/state:nsw/lga:nsw295/ward:fairfield,country:au/state:nsw/lga:nsw295,Q56682641
Frenchs Forest Ward,country:au/state:nsw/lga:nsw329/ward:frenchs-forest,country:au/state:nsw/lga:nsw329,Q56682642
Gordon Ward,country:au/state:nsw/lga:nsw258/ward:gordon,country:au/state:nsw/lga:nsw258,Q56682644
Granville Ward,country:au/state:nsw/lga:nsw315/ward:granville,country:au/state:nsw/lga:nsw315,Q56682646
Greystanes Ward,country:au/state:nsw/lga:nsw315/ward:greystanes,country:au/state:nsw/lga:nsw315,Q56682647
