NAME,MS_FB,MS_FB_PARE,WIKIDATA
West Norwood/kent Town Ward,country:au/state:sa/lga:sa92/ward:west-norwood/kent-town,country:au/state:sa/lga:sa92,Q56478651
Mid South Coast Ward,country:au/state:sa/lga:sa93/ward:mid-south-coast,country:au/state:sa/lga:sa93,Q56478652
Water Gully Ward,country:au/state:sa/lga:sa101/ward:water-gully,country:au/state:sa/lga:sa101,Q56478653
Hilton Ward,country:au/state:sa/lga:sa102/ward:hilton,country:au/state:sa/lga:sa102,Q56478654
Thalassa Ward,country:au/state:sa/lga:sa93/ward:thalassa,country:au/state:sa/lga:sa93,Q56478656
Lockleys Ward,country:au/state:sa/lga:sa102/ward:lockleys,country:au/state:sa/lga:sa102,Q56478657
Thebarton Ward,country:au/state:sa/lga:sa102/ward:thebarton,country:au/state:sa/lga:sa102,Q56478658
Findon Ward,country:au/state:sa/lga:sa90/ward:findon,country:au/state:sa/lga:sa90,Q56478659
Ward 2,country:au/state:sa/lga:sa98/ward:2,country:au/state:sa/lga:sa98,Q56478660
Ward 4,country:au/state:sa/lga:sa98/ward:4,country:au/state:sa/lga:sa98,Q56478661
Ward 5,country:au/state:sa/lga:sa98/ward:5,country:au/state:sa/lga:sa98,Q56478662
Pedare Ward,country:au/state:sa/lga:sa101/ward:pedare,country:au/state:sa/lga:sa101,Q56478663
North Ward,country:au/state:sa/lga:sa82/ward:north,country:au/state:sa/lga:sa82,Q56478664
St Peters Ward,country:au/state:sa/lga:sa92/ward:st-peters,country:au/state:sa/lga:sa92,Q56478665
Torrens Ward,country:au/state:sa/lga:sa92/ward:torrens,country:au/state:sa/lga:sa92,Q56478666
Steventon Ward,country:au/state:sa/lga:sa101/ward:steventon,country:au/state:sa/lga:sa101,Q56478667
Airport Ward,country:au/state:sa/lga:sa102/ward:airport,country:au/state:sa/lga:sa102,Q56478668
Keswick Ward,country:au/state:sa/lga:sa102/ward:keswick,country:au/state:sa/lga:sa102,Q56478670
Knox Ward,country:au/state:sa/lga:sa93/ward:knox,country:au/state:sa/lga:sa93,Q56478672
Pimpala Ward,country:au/state:sa/lga:sa93/ward:pimpala,country:au/state:sa/lga:sa93,Q56478684
Morphett Ward,country:au/state:sa/lga:sa102/ward:morphett,country:au/state:sa/lga:sa102,Q56478685
Plympton Ward,country:au/state:sa/lga:sa102/ward:plympton,country:au/state:sa/lga:sa102,Q56478687
South Ward,country:au/state:sa/lga:sa82/ward:south,country:au/state:sa/lga:sa82,Q56478688
Central Ward,country:au/state:sa/lga:sa81/ward:central,country:au/state:sa/lga:sa81,Q56478689
East Ward,country:au/state:sa/lga:sa81/ward:east,country:au/state:sa/lga:sa81,Q56478692
North Ward,country:au/state:sa/lga:sa81/ward:north,country:au/state:sa/lga:sa81,Q56478693
Mt Lofty Ward,country:au/state:sa/lga:sa107/ward:mt-lofty,country:au/state:sa/lga:sa107,Q56478695
West Ward,country:au/state:sa/lga:sa81/ward:west,country:au/state:sa/lga:sa81,Q56478696
Clarence Park Ward,country:au/state:sa/lga:sa83/ward:clarence-park,country:au/state:sa/lga:sa83,Q56478705
West Ward,country:au/state:sa/lga:sa82/ward:west,country:au/state:sa/lga:sa82,Q56478706
Kensington/east Norwood Ward,country:au/state:sa/lga:sa92/ward:kensington/east-norwood,country:au/state:sa/lga:sa92,Q56478708
Maylands/trinity Ward,country:au/state:sa/lga:sa92/ward:maylands/trinity,country:au/state:sa/lga:sa92,Q56478709
Goodwood Ward,country:au/state:sa/lga:sa83/ward:goodwood,country:au/state:sa/lga:sa83,Q56478710
Hectorville Ward,country:au/state:sa/lga:sa75/ward:hectorville,country:au/state:sa/lga:sa75,Q56478712
Unley Park Ward,country:au/state:sa/lga:sa83/ward:unley-park,country:au/state:sa/lga:sa83,Q56478713
Unley Ward,country:au/state:sa/lga:sa83/ward:unley,country:au/state:sa/lga:sa83,Q56478715
Central Ward,country:au/state:sa/lga:sa73/ward:central,country:au/state:sa/lga:sa73,Q56478716
North Ward,country:au/state:sa/lga:sa73/ward:north,country:au/state:sa/lga:sa73,Q56478727
South Ward,country:au/state:sa/lga:sa73/ward:south,country:au/state:sa/lga:sa73,Q56478730
Beaumont Ward,country:au/state:sa/lga:sa74/ward:beaumont,country:au/state:sa/lga:sa74,Q56478731
Levels Ward,country:au/state:sa/lga:sa82/ward:levels,country:au/state:sa/lga:sa82,Q56478733
Central Ward,country:au/state:sa/lga:sa82/ward:central,country:au/state:sa/lga:sa82,Q56478734
River Ward,country:au/state:sa/lga:sa75/ward:river,country:au/state:sa/lga:sa75,Q56478735
Craigburn Ward,country:au/state:sa/lga:sa76/ward:craigburn,country:au/state:sa/lga:sa76,Q56478736
The Park Ward,country:au/state:sa/lga:sa76/ward:the-park,country:au/state:sa/lga:sa76,Q56478737
Para Ward,country:au/state:sa/lga:sa82/ward:para,country:au/state:sa/lga:sa82,Q56478738
Onkaparinga Valley Ward,country:au/state:sa/lga:sa107/ward:onkaparinga-valley,country:au/state:sa/lga:sa107,Q56478739
Marble Hill Ward,country:au/state:sa/lga:sa107/ward:marble-hill,country:au/state:sa/lga:sa107,Q56478740
Fullarton Ward,country:au/state:sa/lga:sa83/ward:fullarton,country:au/state:sa/lga:sa83,Q56478741
Parkside Ward,country:au/state:sa/lga:sa83/ward:parkside,country:au/state:sa/lga:sa83,Q56478742
Manoah Ward,country:au/state:sa/lga:sa107/ward:manoah,country:au/state:sa/lga:sa107,Q56478743
Semaphore Ward,country:au/state:sa/lga:sa78/ward:semaphore,country:au/state:sa/lga:sa78,Q56478744
Torrens Valley Ward,country:au/state:sa/lga:sa107/ward:torrens-valley,country:au/state:sa/lga:sa107,Q56478745
Burnside Ward,country:au/state:sa/lga:sa74/ward:burnside,country:au/state:sa/lga:sa74,Q56478746
Eastwood And Glenunga Ward,country:au/state:sa/lga:sa74/ward:eastwood-and-glenunga,country:au/state:sa/lga:sa74,Q56478747
Kensington Gardens And Magill Ward,country:au/state:sa/lga:sa74/ward:kensington-gardens-and-magill,country:au/state:sa/lga:sa74,Q56478748
Kensington Park Ward,country:au/state:sa/lga:sa74/ward:kensington-park,country:au/state:sa/lga:sa74,Q56478749
Gorge Ward,country:au/state:sa/lga:sa75/ward:gorge,country:au/state:sa/lga:sa75,Q56478750
Newton Ward,country:au/state:sa/lga:sa75/ward:newton,country:au/state:sa/lga:sa75,Q56478751
Woodforde Ward,country:au/state:sa/lga:sa75/ward:woodforde,country:au/state:sa/lga:sa75,Q56478752
Babbage Ward,country:au/state:sa/lga:sa76/ward:babbage,country:au/state:sa/lga:sa76,Q56478753
Boorman Ward,country:au/state:sa/lga:sa107/ward:boorman,country:au/state:sa/lga:sa107,Q56478754
Enfield Ward,country:au/state:sa/lga:sa78/ward:enfield,country:au/state:sa/lga:sa78,Q56478755
Klemzig Ward,country:au/state:sa/lga:sa78/ward:klemzig,country:au/state:sa/lga:sa78,Q56478756
Northfield Ward,country:au/state:sa/lga:sa78/ward:northfield,country:au/state:sa/lga:sa78,Q56478757
Outer Harbor Ward,country:au/state:sa/lga:sa78/ward:outer-harbor,country:au/state:sa/lga:sa78,Q56478758
Parks Ward,country:au/state:sa/lga:sa78/ward:parks,country:au/state:sa/lga:sa78,Q56478759
Port Adelaide Ward,country:au/state:sa/lga:sa78/ward:port-adelaide,country:au/state:sa/lga:sa78,Q56478760
Hills Ward,country:au/state:sa/lga:sa82/ward:hills,country:au/state:sa/lga:sa82,Q56478761
Beverley Ward,country:au/state:sa/lga:sa90/ward:beverley,country:au/state:sa/lga:sa90,Q56478762
East Ward,country:au/state:sa/lga:sa82/ward:east,country:au/state:sa/lga:sa82,Q56478763
Wine Coast Ward,country:au/state:sa/lga:sa93/ward:wine-coast,country:au/state:sa/lga:sa93,Q56478764
Glenferrie Ward,country:au/state:vic/lga:vic201/ward:glenferrie,country:au/state:vic/lga:vic201,Q56478765
Cazaly Ward,country:au/state:vic/lga:vic205/ward:cazaly,country:au/state:vic/lga:vic205,Q56478766
Rosstown Ward,country:au/state:vic/lga:vic177/ward:rosstown,country:au/state:vic/lga:vic177,Q56478767
Tucker Ward,country:au/state:vic/lga:vic177/ward:tucker,country:au/state:vic/lga:vic177,Q56478768
South Ward,country:au/state:vic/lga:vic203/ward:south,country:au/state:vic/lga:vic203,Q56478769
Central Ward,country:au/state:vic/lga:vic196/ward:central,country:au/state:vic/lga:vic196,Q56478770
Elgar Ward,country:au/state:vic/lga:vic196/ward:elgar,country:au/state:vic/lga:vic196,Q56478771
Morack Ward,country:au/state:vic/lga:vic196/ward:morack,country:au/state:vic/lga:vic196,Q56478772
Riversdale Ward,country:au/state:vic/lga:vic196/ward:riversdale,country:au/state:vic/lga:vic196,Q56478773
Langridge Ward,country:au/state:vic/lga:vic202/ward:langridge,country:au/state:vic/lga:vic202,Q56478774
Nicholls Ward,country:au/state:vic/lga:vic202/ward:nicholls,country:au/state:vic/lga:vic202,Q56478775
Stony Creek Ward,country:au/state:vic/lga:vic234/ward:stony-creek,country:au/state:vic/lga:vic234,Q56478776
Glen Waverley Ward,country:au/state:vic/lga:vic210/ward:glen-waverley,country:au/state:vic/lga:vic210,Q56478777
Oakleigh Ward,country:au/state:vic/lga:vic210/ward:oakleigh,country:au/state:vic/lga:vic210,Q56478778
Buckley Ward,country:au/state:vic/lga:vic121/ward:buckley,country:au/state:vic/lga:vic121,Q56478779
Myrnong Ward,country:au/state:vic/lga:vic121/ward:myrnong,country:au/state:vic/lga:vic121,Q56478780
Rose Hill Ward,country:au/state:vic/lga:vic121/ward:rose-hill,country:au/state:vic/lga:vic121,Q56478781
North-east Ward,country:au/state:vic/lga:vic131/ward:north-east,country:au/state:vic/lga:vic131,Q56478782
North-west Ward,country:au/state:vic/lga:vic131/ward:north-west,country:au/state:vic/lga:vic131,Q56478783
South Ward,country:au/state:vic/lga:vic131/ward:south,country:au/state:vic/lga:vic131,Q56478784
Junction Ward,country:au/state:vic/lga:vic201/ward:junction,country:au/state:vic/lga:vic201,Q56478785
North Ward,country:au/state:vic/lga:vic203/ward:north,country:au/state:vic/lga:vic203,Q56478786
Melbourne City,country:au/state:vic/lga:vic132/ward:melbourne-city,country:au/state:vic/lga:vic132,Q56478787
Mount Waverley Ward,country:au/state:vic/lga:vic210/ward:mount-waverley,country:au/state:vic/lga:vic210,Q56478788
Mulgrave Ward,country:au/state:vic/lga:vic210/ward:mulgrave,country:au/state:vic/lga:vic210,Q56478789
Springfield Ward,country:au/state:vic/lga:vic196/ward:springfield,country:au/state:vic/lga:vic196,Q56478790
Melba Ward,country:au/state:vic/lga:vic202/ward:melba,country:au/state:vic/lga:vic202,Q56478791
Hawdon Ward,country:au/state:vic/lga:vic188/ward:hawdon,country:au/state:vic/lga:vic188,Q56478792
East Ward,country:au/state:vic/lga:vic203/ward:east,country:au/state:vic/lga:vic203,Q56478793
Maling Ward,country:au/state:vic/lga:vic201/ward:maling,country:au/state:vic/lga:vic201,Q56478794
Horseshoe Bend Ward,country:au/state:vic/lga:vic189/ward:horseshoe-bend,country:au/state:vic/lga:vic189,Q56478795
La Trobe Ward,country:au/state:vic/lga:vic205/ward:la-trobe,country:au/state:vic/lga:vic205,Q56478796
Camden Ward,country:au/state:vic/lga:vic177/ward:camden,country:au/state:vic/lga:vic177,Q56478797
River Ward,country:au/state:vic/lga:vic234/ward:river,country:au/state:vic/lga:vic234,Q56478798
Ibbott Ward,country:au/state:vic/lga:vic188/ward:ibbott,country:au/state:vic/lga:vic188,Q56478799
Bellevue Ward,country:au/state:vic/lga:vic201/ward:bellevue,country:au/state:vic/lga:vic201,Q56478800
Studley Ward,country:au/state:vic/lga:vic201/ward:studley,country:au/state:vic/lga:vic201,Q56478801
Rucker Ward,country:au/state:vic/lga:vic205/ward:rucker,country:au/state:vic/lga:vic205,Q56478802
Central Ward,country:au/state:vic/lga:vic226/ward:central,country:au/state:vic/lga:vic226,Q56478803
Heide Ward,country:au/state:vic/lga:vic195/ward:heide,country:au/state:vic/lga:vic195,Q56478804
Lynden Ward,country:au/state:vic/lga:vic201/ward:lynden,country:au/state:vic/lga:vic201,Q56478805
Bakewell Ward,country:au/state:vic/lga:vic188/ward:bakewell,country:au/state:vic/lga:vic188,Q56478806
Cherry Lake Ward,country:au/state:vic/lga:vic235/ward:cherry-lake,country:au/state:vic/lga:vic235,Q56478807
Strand Ward,country:au/state:vic/lga:vic235/ward:strand,country:au/state:vic/lga:vic235,Q56478808
Beale Ward,country:au/state:vic/lga:vic188/ward:beale,country:au/state:vic/lga:vic188,Q56478809
Yarraville Ward,country:au/state:vic/lga:vic234/ward:yarraville,country:au/state:vic/lga:vic234,Q56478810
Wetlands Ward,country:au/state:vic/lga:vic235/ward:wetlands,country:au/state:vic/lga:vic235,Q56478811
Griffin Ward,country:au/state:vic/lga:vic188/ward:griffin,country:au/state:vic/lga:vic188,Q56478812
Grimshaw Ward,country:au/state:vic/lga:vic188/ward:grimshaw,country:au/state:vic/lga:vic188,Q56478813
Canal Ward,country:au/state:vic/lga:vic208/ward:canal,country:au/state:vic/lga:vic208,Q56478814
Gateway Ward,country:au/state:vic/lga:vic208/ward:gateway,country:au/state:vic/lga:vic208,Q56478815
Lake Ward,country:au/state:vic/lga:vic208/ward:lake,country:au/state:vic/lga:vic208,Q56478816
Olympia Ward,country:au/state:vic/lga:vic188/ward:olympia,country:au/state:vic/lga:vic188,Q56478817
Maranoa Ward,country:au/state:vic/lga:vic201/ward:maranoa,country:au/state:vic/lga:vic201,Q56478818
Central Ward,country:au/state:vic/lga:vic182/ward:central,country:au/state:vic/lga:vic182,Q56478819
Northern Ward,country:au/state:vic/lga:vic182/ward:northern,country:au/state:vic/lga:vic182,Q56478820
Southern Ward,country:au/state:vic/lga:vic182/ward:southern,country:au/state:vic/lga:vic182,Q56478821
Cotham Ward,country:au/state:vic/lga:vic201/ward:cotham,country:au/state:vic/lga:vic201,Q56478822
Gardiner Ward,country:au/state:vic/lga:vic201/ward:gardiner,country:au/state:vic/lga:vic201,Q56478823
Solway Ward,country:au/state:vic/lga:vic201/ward:solway,country:au/state:vic/lga:vic201,Q56478824
North Ward,country:au/state:vic/lga:vic226/ward:north,country:au/state:vic/lga:vic226,Q56478825
South Ward,country:au/state:vic/lga:vic226/ward:south,country:au/state:vic/lga:vic226,Q56478826
Grasslands Ward,country:au/state:vic/lga:vic189/ward:grasslands,country:au/state:vic/lga:vic189,Q56478827
Harvester Ward,country:au/state:vic/lga:vic189/ward:harvester,country:au/state:vic/lga:vic189,Q56478828
Koonung Ward,country:au/state:vic/lga:vic195/ward:koonung,country:au/state:vic/lga:vic195,Q56478830
Mullum Mullum Ward,country:au/state:vic/lga:vic195/ward:mullum-mullum,country:au/state:vic/lga:vic195,Q56478831
Taylors Ward,country:au/state:vic/lga:vic189/ward:taylors,country:au/state:vic/lga:vic189,Q56478832
South West Ward,country:au/state:wa/lga:wa427/ward:south-west,country:au/state:wa/lga:wa427,Q56478833
City Ward,country:au/state:wa/lga:wa416/ward:city,country:au/state:wa/lga:wa416,Q56478834
North Ward,country:au/state:wa/lga:wa376/ward:north,country:au/state:wa/lga:wa376,Q56478835
Melvista Ward,country:au/state:wa/lga:wa307/ward:melvista,country:au/state:wa/lga:wa307,Q56478836
South Ward,country:au/state:wa/lga:wa373/ward:south,country:au/state:wa/lga:wa373,Q56478837
Manning Ward,country:au/state:wa/lga:wa318/ward:manning,country:au/state:wa/lga:wa318,Q56478838
Mill Point Ward,country:au/state:wa/lga:wa318/ward:mill-point,country:au/state:wa/lga:wa318,Q56478840
Rockingham Ward,country:au/state:wa/lga:wa308/ward:rockingham,country:au/state:wa/lga:wa308,Q56478841
Central Ward,country:au/state:wa/lga:wa371/ward:central,country:au/state:wa/lga:wa371,Q56478842
South Ward,country:au/state:wa/lga:wa319/ward:south,country:au/state:wa/lga:wa319,Q56478843
Dalkeith Ward,country:au/state:wa/lga:wa307/ward:dalkeith,country:au/state:wa/lga:wa307,Q56478844
North Ward,country:au/state:wa/lga:wa373/ward:north,country:au/state:wa/lga:wa373,Q56478845
West Ward,country:au/state:wa/lga:wa314/ward:west,country:au/state:wa/lga:wa314,Q56478846
South Ward,country:au/state:wa/lga:wa360/ward:south,country:au/state:wa/lga:wa360,Q56478847
Minnawarra Ward,country:au/state:wa/lga:wa321/ward:minnawarra,country:au/state:wa/lga:wa321,Q56478848
River Ward,country:au/state:wa/lga:wa321/ward:river,country:au/state:wa/lga:wa321,Q56478850
Banksia Ward,country:au/state:wa/lga:wa316/ward:banksia,country:au/state:wa/lga:wa316,Q56478851
Lake Ward,country:au/state:wa/lga:wa321/ward:lake,country:au/state:wa/lga:wa321,Q56478852
Mason Ward,country:au/state:wa/lga:wa317/ward:mason,country:au/state:wa/lga:wa317,Q56478853
South East Ward,country:au/state:wa/lga:wa427/ward:south-east,country:au/state:wa/lga:wa427,Q56478854
Altone Ward,country:au/state:wa/lga:wa313/ward:altone,country:au/state:wa/lga:wa313,Q56478855
East Ward,country:au/state:wa/lga:wa319/ward:east,country:au/state:wa/lga:wa319,Q56478856
East Ward,country:au/state:wa/lga:wa416/ward:east,country:au/state:wa/lga:wa416,Q56478857
North Ward,country:au/state:wa/lga:wa310/ward:north,country:au/state:wa/lga:wa310,Q56478858
Beeliar Ward,country:au/state:wa/lga:wa317/ward:beeliar,country:au/state:wa/lga:wa317,Q56478859
South Ward,country:au/state:wa/lga:wa314/ward:south,country:au/state:wa/lga:wa314,Q56478860
South Ward,country:au/state:wa/lga:wa416/ward:south,country:au/state:wa/lga:wa416,Q56478861
Central Ward,country:au/state:wa/lga:wa376/ward:central,country:au/state:wa/lga:wa376,Q56478862
Coastal Ward,country:au/state:wa/lga:wa334/ward:coastal,country:au/state:wa/lga:wa334,Q56478863
Richmond Ward,country:au/state:wa/lga:wa369/ward:richmond,country:au/state:wa/lga:wa369,Q56478864
Woodside Ward,country:au/state:wa/lga:wa369/ward:woodside,country:au/state:wa/lga:wa369,Q56478865
Beaconsfield Ward,country:au/state:wa/lga:wa416/ward:beaconsfield,country:au/state:wa/lga:wa416,Q56478866
East Ward,country:au/state:wa/lga:wa376/ward:east,country:au/state:wa/lga:wa376,Q56478867
East Ward,country:au/state:wa/lga:wa368/ward:east,country:au/state:wa/lga:wa368,Q56478868
Bull Creek-leeming Ward,country:au/state:wa/lga:wa312/ward:bull-creek-leeming,country:au/state:wa/lga:wa312,Q56478869
Lawley Ward,country:au/state:wa/lga:wa334/ward:lawley,country:au/state:wa/lga:wa334,Q56478870
South West Ward,country:au/state:wa/lga:wa371/ward:south-west,country:au/state:wa/lga:wa371,Q56478871
Preston Pt Ward,country:au/state:wa/lga:wa369/ward:preston-pt,country:au/state:wa/lga:wa369,Q56478872
Hilton Ward,country:au/state:wa/lga:wa416/ward:hilton,country:au/state:wa/lga:wa416,Q56478873
South Ward,country:au/state:wa/lga:wa368/ward:south,country:au/state:wa/lga:wa368,Q56478875
Central Ward,country:au/state:wa/lga:wa373/ward:central,country:au/state:wa/lga:wa373,Q56478876
East Ward,country:au/state:wa/lga:wa373/ward:east,country:au/state:wa/lga:wa373,Q56478877
Moresby Ward,country:au/state:wa/lga:wa318/ward:moresby,country:au/state:wa/lga:wa318,Q56478880
Inglewood Ward,country:au/state:wa/lga:wa334/ward:inglewood,country:au/state:wa/lga:wa334,Q56478881
West Ward,country:au/state:wa/lga:wa360/ward:west,country:au/state:wa/lga:wa360,Q56478882
North West Ward,country:au/state:wa/lga:wa427/ward:north-west,country:au/state:wa/lga:wa427,Q56478883
Baldivis Ward,country:au/state:wa/lga:wa308/ward:baldivis,country:au/state:wa/lga:wa308,Q56478884
East Ward,country:au/state:wa/lga:wa311/ward:east,country:au/state:wa/lga:wa311,Q56478885
North Central Ward,country:au/state:wa/lga:wa371/ward:north-central,country:au/state:wa/lga:wa371,Q56478886
South Ward,country:au/state:wa/lga:wa376/ward:south,country:au/state:wa/lga:wa376,Q56478887
Hollywood Ward,country:au/state:wa/lga:wa307/ward:hollywood,country:au/state:wa/lga:wa307,Q56478888
Doubleview Ward,country:au/state:wa/lga:wa334/ward:doubleview,country:au/state:wa/lga:wa334,Q56478889
Hamersley Ward,country:au/state:wa/lga:wa334/ward:hamersley,country:au/state:wa/lga:wa334,Q56478890
Applecross-mt Pleasant Ward,country:au/state:wa/lga:wa312/ward:applecross-mt-pleasant,country:au/state:wa/lga:wa312,Q56478891
Osborne Ward,country:au/state:wa/lga:wa334/ward:osborne,country:au/state:wa/lga:wa334,Q56478892
Jarrah Ward,country:au/state:wa/lga:wa316/ward:jarrah,country:au/state:wa/lga:wa316,Q56478893
Bannister Ward,country:au/state:wa/lga:wa317/ward:bannister,country:au/state:wa/lga:wa317,Q56478894
Safety Bay Ward,country:au/state:wa/lga:wa308/ward:safety-bay,country:au/state:wa/lga:wa308,Q56478895
Coast Ward,country:au/state:wa/lga:wa370/ward:coast,country:au/state:wa/lga:wa370,Q56478896
South Ward,country:au/state:wa/lga:wa309/ward:south,country:au/state:wa/lga:wa309,Q56478897
Central Ward,country:au/state:wa/lga:wa309/ward:central,country:au/state:wa/lga:wa309,Q56478898
South Ward,country:au/state:wa/lga:wa375/ward:south,country:au/state:wa/lga:wa375,Q56478899
West Ward,country:au/state:wa/lga:wa368/ward:west,country:au/state:wa/lga:wa368,Q56478900
Wembley Ward,country:au/state:wa/lga:wa370/ward:wembley,country:au/state:wa/lga:wa370,Q56478901
Balga Ward,country:au/state:wa/lga:wa334/ward:balga,country:au/state:wa/lga:wa334,Q56478902
Nicholson Ward,country:au/state:wa/lga:wa317/ward:nicholson,country:au/state:wa/lga:wa317,Q56478903
North Ward,country:au/state:wa/lga:wa427/ward:north,country:au/state:wa/lga:wa427,Q56478904
Coastal Ward,country:au/state:wa/lga:wa307/ward:coastal,country:au/state:wa/lga:wa307,Q56478905
Plympton Ward,country:au/state:wa/lga:wa369/ward:plympton,country:au/state:wa/lga:wa369,Q56478906
North Ward,country:au/state:wa/lga:wa375/ward:north,country:au/state:wa/lga:wa375,Q56478908
South East Ward,country:au/state:wa/lga:wa371/ward:south-east,country:au/state:wa/lga:wa371,Q56478909
South Ward,country:au/state:wa/lga:wa310/ward:south,country:au/state:wa/lga:wa310,Q56478910
Central Ward,country:au/state:wa/lga:wa314/ward:central,country:au/state:wa/lga:wa314,Q56478911
Palomino Ward,country:au/state:wa/lga:wa321/ward:palomino,country:au/state:wa/lga:wa321,Q56478912
Heron Ward,country:au/state:wa/lga:wa321/ward:heron,country:au/state:wa/lga:wa321,Q56478913
Central Ward,country:au/state:wa/lga:wa311/ward:central,country:au/state:wa/lga:wa311,Q56478914
North Ward,country:au/state:wa/lga:wa371/ward:north,country:au/state:wa/lga:wa371,Q56478915
South Ward,country:au/state:wa/lga:wa371/ward:south,country:au/state:wa/lga:wa371,Q56478916
