NAME,MS_FB,MS_FB_PARE,WIKIDATA
Kwinana Electoral District,country:au/state:wa/lga:wa425/lga-ed:kwinana-electoral-district,country:au/state:wa/lga:wa425,Q56682652
Gawler Electoral District,country:au/state:sa/lga:sa85/lga-ed:gawler-electoral-district,country:au/state:sa/lga:sa85,Q56682643
Perth Electoral District,country:au/state:wa/lga:wa423/lga-ed:perth-electoral-district,country:au/state:wa/lga:wa423,Q56682677
Bassendean Electoral District,country:au/state:wa/lga:wa377/lga-ed:bassendean-electoral-district,country:au/state:wa/lga:wa377,Q56682612
Gosnells Electoral District,country:au/state:wa/lga:wa320/lga-ed:gosnells-electoral-district,country:au/state:wa/lga:wa320,Q56682645
Walkerville Electoral District,country:au/state:sa/lga:sa154/lga-ed:walkerville-electoral-district,country:au/state:sa/lga:sa154,Q56682701
Peppermint Grove Electoral District,country:au/state:wa/lga:wa374/lga-ed:peppermint-grove-electoral-district,country:au/state:wa/lga:wa374,Q56682676
Mosman Electoral District,country:au/state:nsw/lga:nsw232/lga-ed:mosman-electoral-district,country:au/state:nsw/lga:nsw232,Q56682661
Burwood Electoral District,country:au/state:nsw/lga:nsw268/lga-ed:burwood-electoral-district,country:au/state:nsw/lga:nsw268,Q56682618
Canada Bay Electoral District,country:au/state:nsw/lga:nsw282/lga-ed:canada-bay-electoral-district,country:au/state:nsw/lga:nsw282,Q56682621
Strathfield Electoral District,country:au/state:nsw/lga:nsw196/lga-ed:strathfield-electoral-district,country:au/state:nsw/lga:nsw196,Q56682696
Campbelltown Electoral District,country:au/state:nsw/lga:nsw272/lga-ed:campbelltown-electoral-district,country:au/state:nsw/lga:nsw272,Q56682620
City of Sydney Electoral District,country:au/state:nsw/lga:nsw200/lga-ed:city-of-sydney-electoral-district,country:au/state:nsw/lga:nsw200,Q56682627
Kiama Electoral District,country:au/state:nsw/lga:nsw212/lga-ed:kiama-electoral-district,country:au/state:nsw/lga:nsw212,Q56682650
Shellharbour Electoral District,country:au/state:nsw/lga:nsw306/lga-ed:shellharbour-electoral-district,country:au/state:nsw/lga:nsw306,Q56682687
Rose Park And Toorak Gardens Ward,country:au/state:sa/lga:sa74/ward:rose-park-and-toorak-gardens,country:au/state:sa/lga:sa74,Q56478624
Warracowie Ward,country:au/state:sa/lga:sa91/ward:warracowie,country:au/state:sa/lga:sa91,Q56478625
Warriparinga Ward,country:au/state:sa/lga:sa91/ward:warriparinga,country:au/state:sa/lga:sa91,Q56478626
Woodlands Ward,country:au/state:sa/lga:sa91/ward:woodlands,country:au/state:sa/lga:sa91,Q56478627
Gault Ward,country:au/state:sa/lga:sa76/ward:gault,country:au/state:sa/lga:sa76,Q56478628
Payneham Ward,country:au/state:sa/lga:sa92/ward:payneham,country:au/state:sa/lga:sa92,Q56478629
Ward 1,country:au/state:sa/lga:sa98/ward:1,country:au/state:sa/lga:sa98,Q56478630
Ward 3,country:au/state:sa/lga:sa98/ward:3,country:au/state:sa/lga:sa98,Q56478631
Grange Ward,country:au/state:sa/lga:sa90/ward:grange,country:au/state:sa/lga:sa90,Q56478632
Brighton Ward,country:au/state:sa/lga:sa105/ward:brighton,country:au/state:sa/lga:sa105,Q56478633
Overton Ward,country:au/state:sa/lga:sa76/ward:overton,country:au/state:sa/lga:sa76,Q56478634
Henley Ward,country:au/state:sa/lga:sa90/ward:henley,country:au/state:sa/lga:sa90,Q56478635
Hindmarsh Ward,country:au/state:sa/lga:sa90/ward:hindmarsh,country:au/state:sa/lga:sa90,Q56478636
Woodville Ward,country:au/state:sa/lga:sa90/ward:woodville,country:au/state:sa/lga:sa90,Q56478637
Seacliff Ward,country:au/state:sa/lga:sa105/ward:seacliff,country:au/state:sa/lga:sa105,Q56478638
Somerton Ward,country:au/state:sa/lga:sa105/ward:somerton,country:au/state:sa/lga:sa105,Q56478639
Coastal Ward,country:au/state:sa/lga:sa91/ward:coastal,country:au/state:sa/lga:sa91,Q56478640
Mullawirra Ward,country:au/state:sa/lga:sa91/ward:mullawirra,country:au/state:sa/lga:sa91,Q56478641
Ward 6,country:au/state:sa/lga:sa98/ward:6,country:au/state:sa/lga:sa98,Q56478643
Semaphore Park Ward,country:au/state:sa/lga:sa90/ward:semaphore-park,country:au/state:sa/lga:sa90,Q56478644
West Woodville Ward,country:au/state:sa/lga:sa90/ward:west-woodville,country:au/state:sa/lga:sa90,Q56478645
Balmoral Ward,country:au/state:sa/lga:sa101/ward:balmoral,country:au/state:sa/lga:sa101,Q56478646
Glenelg Ward,country:au/state:sa/lga:sa105/ward:glenelg,country:au/state:sa/lga:sa105,Q56478647
Hillcott Ward,country:au/state:sa/lga:sa101/ward:hillcott,country:au/state:sa/lga:sa101,Q56478648
Southern Hills Ward,country:au/state:sa/lga:sa91/ward:southern-hills,country:au/state:sa/lga:sa91,Q56478649
Drumminor Ward,country:au/state:sa/lga:sa101/ward:drumminor,country:au/state:sa/lga:sa101,Q56478650
